time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.003122,-0.569765866,-0.186140789,-0.290472729,-0.446499168,-0.520799457
0.003123,-0.614713866,-0.256368289,-0.185599929,-0.455238668,-0.513309057
0.003124,-0.627197866,-0.317231789,-0.144400329,-0.474902368,-0.523297057
0.003125,-0.617209866,-0.342201289,-0.151891329,-0.479271768,-0.548266657
0.003126,-0.577257866,-0.353125789,-0.213690729,-0.474902368,-0.575733057
0.003127,-0.542301866,-0.356246789,-0.284854329,-0.435574968,-0.610690657
0.003128,-0.509841866,-0.367171289,-0.284854329,-0.337257168,-0.623175457
0.003129,-0.484869866,-0.403064789,-0.159381729,-0.230199868,-0.588217857
0.00313,-0.464893866,-0.424913289,0.022272291,-0.136251468,-0.503321057
0.003131,-0.406217866,-0.390580289,0.177708471,-0.037933318,-0.420921057
0.003132,-0.282616666,-0.320352789,0.273217671,0.058199922,-0.358497057
0.003133,-0.125307866,-0.262610789,0.310672071,0.115005832,-0.301066657
0.003134,0.028255654,-0.209550289,0.282581271,0.145593732,-0.233648257
0.003135,0.174328134,-0.122156289,0.252617271,0.198030032,-0.161236257
0.003136,0.255479734,-0.023838239,0.267599271,0.263575232,-0.078836737
0.003137,0.315406934,0.044828361,0.316289871,0.313826832,-0.003927723
0.003138,0.374085334,0.091646711,0.361235271,0.344414732,0.060993423
0.003139,0.409042934,0.150949211,0.361235271,0.372817932,0.150884543
0.00314,0.442750134,0.214934211,0.293817471,0.412144632,0.255756543
0.003141,0.444002134,0.253949211,0.226399071,0.449287332,0.340653343
0.003142,0.380328134,0.294525211,0.187072071,0.464580932,0.385598943
0.003143,0.327891734,0.361631211,0.187072071,0.433993032,0.383102143
0.003144,0.330388534,0.392843211,0.190817271,0.372817932,0.383102143
0.003145,0.377830934,0.380358211,0.198308271,0.318196232,0.350641343
0.003146,0.446498134,0.358509711,0.232017471,0.267945332,0.325671743
0.003147,0.502678134,0.328858211,0.282581271,0.235172732,0.345647743
0.003148,0.500182134,0.289843211,0.293817471,0.222063132,0.385598943
0.003149,0.452738134,0.252388711,0.286326471,0.228617932,0.400580543
0.00315,0.354109734,0.230540211,0.265726671,0.237357432,0.388095743
0.003151,0.235503734,0.222737211,0.228272271,0.228617932,0.408071743
0.003152,0.089431334,0.216494711,0.181453671,0.232987332,0.428047743
0.003153,-0.084107866,0.208691711,0.147745071,0.246096932,0.435538143
0.003154,-0.255149866,0.200888711,0.093436071,0.259205832,0.415562943
0.003155,-0.406217866,0.163434211,0.027890511,0.259205832,0.358132543
0.003156,-0.496105866,0.085404211,-0.047018469,0.259205832,0.308193343
0.003157,-0.441173866,-0.005110989,-0.114436329,0.226433232,0.278229343
0.003158,-0.312580266,-0.031641239,-0.166872729,0.195845332,0.295708543
0.003159,-0.225186266,0.005813251,-0.228672729,0.158702632,0.313186943
0.00316,-0.188980266,0.038585961,-0.297963729,0.090972732,0.305695743
0.003161,-0.192725866,0.001131441,-0.363508929,0.003578782,0.285720543
0.003162,-0.196471466,-0.103428789,-0.384108729,-0.081630468,0.273235743
0.003163,-0.216447066,-0.209550289,-0.337290729,-0.085999868,0.278229343
0.003164,-0.291355866,-0.236080289,-0.247399929,-0.029193888,0.260750943
0.003165,-0.393729866,-0.225156289,-0.148145529,0.036351452,0.213308543
0.003166,-0.496105866,-0.222034789,-0.129418329,0.062569602,0.185841343
0.003167,-0.558529866,-0.248565289,-0.251145729,0.062569602,0.183344543
0.003168,-0.489865866,-0.261049789,-0.457144929,0.029796932,0.163369343
0.003169,-0.335053066,-0.237640789,-0.648162129,-0.042302998,0.140896543
0.00317,-0.240168266,-0.150247289,-0.743670129,-0.099108768,0.140896543
0.003171,-0.201465066,-0.036323039,-0.760524129,-0.193057168,0.130908543
0.003172,-0.149029066,-0.023838239,-0.801726129,-0.332887768,0.043514623
0.003173,-0.074119866,-0.179898789,-0.824202129,-0.518599168,-0.078836737
0.003174,-0.040411066,-0.395261789,-0.799854129,-0.664983868,-0.158739457
